easting0 [km], northing0 [km], easting1 [km], northing1 [km]
2.5404155e+02, 5.8017060e+02, 2.5639178e+02, 5.7999708e+02
2.5126223e+02, 5.7775550e+02, 2.5311859e+02, 5.7524909e+02
2.3450321e+02, 5.8828839e+02, 2.3518312e+02, 5.8558937e+02
2.3650925e+02, 5.8917215e+02, 2.3915275e+02, 5.8717998e+02
2.4033628e+02, 5.7681677e+02, 2.4439069e+02, 5.7792834e+02
2.5144030e+02, 6.1175865e+02, 2.5409820e+02, 6.1099647e+02
2.6307113e+02, 5.8761321e+02, 2.6389975e+02, 5.9134603e+02
2.5661476e+02, 6.0761094e+02, 2.5753093e+02, 6.1261484e+02
2.3633000e+02, 6.1225403e+02, 2.3655876e+02, 6.0997116e+02
2.3896275e+02, 5.8705973e+02, 2.4126554e+02, 5.8570571e+02
2.3871016e+02, 5.8702356e+02, 2.4103539e+02, 5.8528243e+02
2.3843698e+02, 6.1273564e+02, 2.4886810e+02, 5.9359573e+02
2.6560993e+02, 5.7659128e+02, 2.6840876e+02, 5.7588664e+02
2.3489525e+02, 5.9151698e+02, 2.3578873e+02, 5.8955489e+02
2.4249210e+02, 6.1111947e+02, 2.5432728e+02, 6.0967420e+02
2.3210899e+02, 5.7942218e+02, 2.3657497e+02, 5.8213074e+02
2.3576091e+02, 6.0504993e+02, 2.3572221e+02, 6.0280010e+02
2.5303642e+02, 5.9379067e+02, 2.5370575e+02, 5.8937047e+02
2.5915843e+02, 5.8265612e+02, 2.6043547e+02, 5.7874993e+02
2.5669026e+02, 5.8902809e+02, 2.5638366e+02, 5.8598997e+02
2.6594161e+02, 5.8278980e+02, 2.6839472e+02, 5.8294485e+02
2.4034783e+02, 5.8558166e+02, 2.4147805e+02, 5.7733155e+02
2.5877821e+02, 5.9204574e+02, 2.6038242e+02, 5.8995825e+02
2.3449340e+02, 6.0807081e+02, 2.3834681e+02, 5.9562619e+02
2.3181303e+02, 6.0514966e+02, 2.3229669e+02, 6.0305729e+02
2.3965041e+02, 5.8483097e+02, 2.3978486e+02, 5.8066514e+02
2.3167709e+02, 6.1311155e+02, 2.3389677e+02, 6.0682728e+02
2.5288882e+02, 5.7929184e+02, 2.5305933e+02, 5.7699637e+02
2.6385530e+02, 5.9482012e+02, 2.6437716e+02, 5.9228706e+02
2.3455072e+02, 5.9264588e+02, 2.3935971e+02, 5.8503031e+02
2.2880897e+02, 5.9986060e+02, 2.2924809e+02, 5.9569400e+02
2.4523690e+02, 5.8413588e+02, 2.4888806e+02, 5.7992578e+02
2.5871838e+02, 5.7432200e+02, 2.6226413e+02, 5.7402026e+02
2.3087879e+02, 5.9500837e+02, 2.3153334e+02, 5.9203127e+02
2.6067522e+02, 5.8718048e+02, 2.6195134e+02, 5.8248215e+02
2.6703407e+02, 5.8280653e+02, 2.6690578e+02, 5.8054315e+02
2.5435008e+02, 5.7163011e+02, 2.5635711e+02, 5.7144383e+02
2.2815955e+02, 6.0278949e+02, 2.3551048e+02, 5.9544687e+02
2.2857856e+02, 5.9215254e+02, 2.3148829e+02, 5.8982233e+02
